Analysis_ID,Province,Census_Division,Municipality_ID,Municipality_Name,Market_Zone_ID,Market_Zone_Name,Zone_Type,Is_Official_Zone,Candidate_ID,Candidate_Name,Candidate_Address,Latitude,Longitude,Radius_km,Population,Previous_Population,Population_Growth_Pct,Land_Area_km2,Population_Density,Population_20_34,Age_20_34_Pct,Population_18_34_Estimated,Age_18_34_Pct,Target_Age_Population,Target_Age_Pct,Private_Households,Renter_Households,Renter_Pct,Apartment_Dwellings,Apartment_Pct,Average_Household_Income,Estimated_Median_Income,Labour_Force_Population,Employed_Population,Unemployed_Population,Employment_Rate,Unemployment_Rate,Transit_Stops,Transit_Commuters,Transit_Commuter_Pct,Walking_Commuters,Nearest_College_km,Nearest_University_km,Education_Facilities_Count,Parking_Available,Parking_Spaces,Road_Visibility_Rating,Accessibility_Rating,Total_Gym_Count,Budget_Gym_Count,Midmarket_Gym_Count,Premium_Gym_Count,Boutique_Gym_Count,Independent_Gym_Count,Chain_Gym_Count,Gyms_Per_10k,Budget_Gyms_Per_10k,Population_Per_Gym,Target_Population_Per_Gym,Target_Population_Per_Budget_Gym,No_Budget_Gym_Flag,Nearest_Gym_km,Nearest_Budget_Gym_km,Gyms_With_Verified_Prices,Price_Completeness_Pct,Minimum_Monthly_Fee,Average_Monthly_Fee,Median_Monthly_Fee,Maximum_Monthly_Fee,Average_Joining_Fee,No_Contract_Gym_Count,Free_Trial_Gym_Count,Open_24_7_Count,Personal_Training_Count,Group_Classes_Count,Cardio_Equipment_Count,Free_Weights_Count,Showers_Count,Locker_Count,Parking_Count,Pool_Count,Sauna_Count,Childcare_Count,Women_Only_Area_Count,Accessible_Gym_Count,Average_Service_Count,No_24_7_Gym_Flag,No_Childcare_Gym_Flag,No_Pool_Gym_Flag,No_Women_Only_Gym_Flag,Missing_Service_Count,Service_Gap_Score,Commercial_Space_Available,Floor_Area_sqft,Monthly_Rent,Annual_Rent_Per_sqft,Zoning_Compatible,Parking_Requirement_Met,Property_Condition_Rating,Property_Cost_Score,Property_Suitability_Score,Demand_Score,Growth_Score,Affordability_Fit_Score,Accessibility_Score,Competition_Gap_Score,Property_Score,Opportunity_Score,Municipality_Rank,Market_Zone_Rank,Candidate_Rank,Recommendation_Category,Census_Year,Gym_Data_Date,Property_Data_Date,Census_Completeness_Pct,Gym_Location_Completeness_Pct,Price_Completeness_Pct_Quality,Service_Completeness_Pct,Data_Quality_Score,Missing_Required_Fields,Primary_Census_Source_ID,Boundary_Source_ID,Analysis_Status,Last_Refresh_Date,Limitations
LON-WEST-LONDON-3KM,Ontario,,M0007,London,LON-WEST-LONDON,West London,Mixed Residential Market,0,LON-WEST-LONDON-C,West London centroid candidate,Approximate market-zone centroid; no property address collected,42.994255,-81.305303,3,61195,,0.1,16.37,2281,9198,0.24627297262562653,10106,0.2705950391980465,16559,0.2705940027780047,14796,6663,0.44941319303925537,5277,0.3566504460665045,98131,85829,18843,16428,2436,0.5348700918148076,0.12927877726476675,,,,,,,,,,,,8,3,,2,1,3,5,1.31,0.49,7649,2070,5520,0,0.93,1.64,,,,,,,,,,1,3,3,8,8,,,,0,0,,0,,0.88,0,,1,1,2,0,,,,,,,,,,65.7,61.5,40.7,,11.3,,36,12,2,111,Lower priority,2021,2026-07-27,,1,0.66,0,0.75,74.4,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-WEST-LONDON-5KM,Ontario,,M0007,London,LON-WEST-LONDON,West London,Mixed Residential Market,0,LON-WEST-LONDON-C,West London centroid candidate,Approximate market-zone centroid; no property address collected,42.994255,-81.305303,5,62248,,0.1,27.29,2281,15330,0.24627297262562653,16844,0.2705950391980465,16844,0.2705950391980465,24660,11105,0.44941319303925537,8795,0.3566504460665045,98131,85829,31405,27380,4060,0.5348700918148076,0.12927877726476675,,,,,,,,,,,,11,3,,4,2,5,6,1.77,0.48,5659,1531,5615,0,0.93,1.64,,,,,,,,,,1,5,5,11,11,,,,0,0,,0,,1,0,,1,1,2,0,,,,,,,,,,65.7,61.5,40.7,,7.8,,35.2,13,3,112,Lower priority,2021,2026-07-27,,1,0.62,0,0.75,73,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-SOUTH-LONDON-3KM,Ontario,,M0007,London,LON-SOUTH-LONDON,South London,Lower-Density Residential Market,0,LON-SOUTH-LONDON-C,South London centroid candidate,Approximate market-zone centroid; no property address collected,42.938015,-81.267106,3,51665,,0.1,83.41,509.6,8274,0.1946585358967844,9266,0.21800626746845092,11263,0.21800058066389238,16944,7011,0.41436170212765955,5862,0.3459631728045326,93422,80115,20484,17673,2811,0.5136454791176214,0.1372290568248389,,,,,,,,,,,,3,1,,1,0,1,2,0.58,0.19,17222,3754,11263,0,1.01,2.28,,,,,,,,,,1,1,1,3,3,,,,0,0,,0,,1,0,,1,1,2,0,,,,,,,,,,53.2,61.5,32.9,,28,,35.1,14,2,113,Lower priority,2021,2026-07-27,,1,0.77,0,0.75,78.1,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-WEST-KITCHEN-5KM,Ontario,,M0006,Kitchener,KIT-WEST-KITCHEN,West Kitchener,Higher-Income Suburban Market,0,KIT-WEST-KITCHEN-C,West Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.418663,-80.519102,5,67749,,0.10099999999999999,23.69,2859.8,14385,0.2123278572377452,16115,0.2378632894950479,16115,0.2378632894950479,23595,6420,0.2718611052297269,3565,0.15109133290951474,110132,100726,36775,32620,4075,0.601956080457649,0.11080897348742352,,,,,,,,,,,,8,1,,6,5,5,3,1.18,0.15,8469,2014,16115,0,2.1,3.38,,,,,,,,,,1,7,7,8,8,,,,0,0,,0,,1.88,0,,1,1,2,0,,,,,,,,,,55.5,62.2,60.9,,12.7,,34.9,11,3,114,Insufficient data,2021,2026-07-27,,1,0.57,0,0.75,71.2,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
THU-WEST-THUNDER-3KM,Ontario,,M0010,Thunder Bay,THU-WEST-THUNDER,West Thunder Bay,Higher-Income Suburban Market,0,THU-WEST-THUNDER-C,West Thunder Bay centroid candidate,Approximate market-zone centroid; no property address collected,48.383708,-89.352748,3,6419,,0.009000000000000001,102.64,62.5,942,0.14675640306599363,1088,0.1695644045616003,1088,0.16949680635613024,2439,96,0.03975155279503106,39,0.015990159901599015,141705,126099,3297,3021,273,0.5641456582633053,0.08280254777070063,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,3.11,8.35,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,23,0,95.4,,9.1,,34.9,8,2,115,Insufficient data,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GUE-WEST-GUELPH-3KM,Ontario,,M0003,Guelph,GUE-WEST-GUELPH,West Guelph,Mixed Residential Market,0,GUE-WEST-GUELPH-C,West Guelph centroid candidate,Approximate market-zone centroid; no property address collected,43.534926,-80.278632,3,39796,,0.091,13.04,1870.8,5307,0.21757847092393978,5837,0.23932401849847487,9524,0.23932053472710826,9480,3900,0.41191381495564006,3678,0.3879746835443038,100094,88726,13317,11778,1557,0.5892240732402821,0.11691822482541113,,,,,,,,,,,,5,1,,3,4,3,2,1.26,0.25,7959,1905,9524,0,1.07,2.53,,,,,,,,,,1,3,3,5,5,,,,0,0,,0,,1.4,0,,1,1,2,0,,,,,,,,,,62,55.4,44.6,,11.8,,34.7,5,2,116,Insufficient data,2021,2026-07-27,,1,0.6,0,0.75,72.2,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
HAM-CENTRAL-HAMI-5KM,Ontario,,M0004,Hamilton,HAM-CENTRAL-HAMI,Central Hamilton,Value-Oriented Rental Market,0,HAM-CENTRAL-HAMI-C,Central Hamilton centroid candidate,Approximate market-zone centroid; no property address collected,43.249096,-79.846627,5,165022,,0.06,60.16,2743.1,42610,0.2582079965095563,45466,0.2755147798475355,45466,0.2755147798475355,75405,39515,0.524002121734518,37270,0.49426430608049865,79771,67965,85345,73585,11830,0.530992928272478,0.13861386138613863,,,,,,,,,,,,18,2,,7,5,14,4,1.09,0.12,9168,2526,22733,0,0.3,1.87,,,,,,,,,,2,8,7,18,18,,,,0,0,,0,,0.94,0,,1,1,2,0,,,,,,,,,,74.3,34.5,16.4,,13.9,,34.6,18,3,117,Insufficient data,2021,2026-07-27,,1,0.51,0,0.75,69.2,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-NORTHEAST-LO-5KM,Ontario,,M0007,London,LON-NORTHEAST-LO,Northeast London,Lower-Density Residential Market,0,LON-NORTHEAST-LO-C,Northeast London centroid candidate,Approximate market-zone centroid; no property address collected,43.004176,-81.188478,5,61801,,0.1,55.62,1111.1,15855,0.25654924677594215,17177,0.27794048639989644,17177,0.27794048639989644,25580,10695,0.4174473067915691,7240,0.2830336200156372,78299,69190,32470,27775,4735,0.534545804464973,0.14582691715429627,,,,,,,,,,,,4,3,,1,1,1,3,0.65,0.49,15450,4294,5726,0,1.31,1.31,,,,,,,,,,2,2,2,4,4,,,,0,0,,0,,1.5,0,,1,1,2,0,,,,,,,,,,58.3,61.5,18,,24.9,,34.6,15,2,118,Insufficient data,2021,2026-07-27,,1,0.86,0,0.75,81.4,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
OSH-SOUTHEAST-OS-5KM,Ontario,,M0008,Oshawa,OSH-SOUTHEAST-OS,Southeast Oshawa,Mixed Residential Market,0,OSH-SOUTHEAST-OS-C,Southeast Oshawa centroid candidate,Approximate market-zone centroid; no property address collected,43.890803,-78.837923,5,50401,,0.1,24.55,2053,10725,0.2127933969564096,11685,0.23184063808257774,11685,0.23184063808257774,19875,6420,0.32277526395173456,5070,0.2550943396226415,94643,83234,25550,21560,4040,0.514497076721155,0.15812133072407045,,,,,,,,,,,,4,1,,2,1,1,3,0.79,0.2,12600,2921,11685,0,1.69,1.69,,,,,,,,,,1,3,3,4,4,,,,0,0,,0,,1.75,0,,1,1,2,0,,,,,,,,,,56.3,61.5,37.1,,19.9,,34.5,11,3,119,Insufficient data,2021,2026-07-27,,1,0.69,0,0.75,75.3,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
WAT-NORTHEAST-WA-5KM,Ontario,,M0011,Waterloo,WAT-NORTHEAST-WA,Northeast Waterloo,Higher-Income Suburban Market,0,WAT-NORTHEAST-WA-C,Northeast Waterloo centroid candidate,Approximate market-zone centroid; no property address collected,43.501707,-80.50436,5,24472,,0.157,18.28,1338.7,4560,0.18633540372670807,5268,0.21526642693690748,5268,0.21526642693690748,8945,1985,0.22031076581576026,1460,0.16321967579653437,153511,123386,14190,12765,1430,0.6265030674846626,0.10077519379844961,,,,,,,,,,,,10,3,,4,3,6,4,4.09,1.23,2447,527,1756,0,2.62,3.2,,,,,,,,,,2,6,5,10,10,,,,0,0,,0,,1.3,0,,1,1,2,0,,,,,,,,,,42.3,100,91.7,,2.2,,34.5,11,3,120,Insufficient data,2021,2026-07-27,,1,0.57,0,0.75,71,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GUE-NORTH-GUELPH-3KM,Ontario,,M0003,Guelph,GUE-NORTH-GUELPH,North Guelph,Mixed Residential Market,0,GUE-NORTH-GUELPH-C,North Guelph centroid candidate,Approximate market-zone centroid; no property address collected,43.56345,-80.2423,3,48292,,0.091,15.31,2009.2,6483,0.2107223652390982,7100,0.23077073094625167,11144,0.2307628592727574,12768,4122,0.3232180663373324,4404,0.3449248120300752,104641,89863,17076,15414,1644,0.6153293413173653,0.09627547434996486,,,,,,,,,,,,5,1,,2,1,2,3,1.04,0.21,9658,2229,11144,0,0.65,1.34,,,,,,,,,,1,3,2,5,5,,,,0,0,,0,,1.2,0,,1,1,2,0,,,,,,,,,,58.8,55.4,46.1,,14.8,,34.4,6,2,121,Insufficient data,2021,2026-07-27,,1,0.57,0,0.75,71.2,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-EAST-KITCHEN-5KM,Ontario,,M0006,Kitchener,KIT-EAST-KITCHEN,East Kitchener,Mixed Residential Market,0,KIT-EAST-KITCHEN-C,East Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.435535,-80.4351,5,53679,,0.10099999999999999,29.62,1812.3,11775,0.21935952607164813,12929,0.24085769108962538,12929,0.24085769108962538,20665,8630,0.41670690487687106,7705,0.37285264940721025,105316,91269,27850,24720,3090,0.5653516295025729,0.11095152603231599,,,,,,,,,,,,9,4,,4,3,2,7,1.68,0.75,5964,1437,3232,0,0.53,0.53,,,,,,,,,,3,7,6,9,9,,,,0,0,,0,,1.78,0,,1,1,2,0,,,,,,,,,,60.8,62.2,48.1,,8.4,,34.4,12,3,122,Insufficient data,2021,2026-07-27,,1,0.68,0,0.75,75.2,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GRE-SOUTHWEST-GR-1KM,Ontario,,M0002,Greater Sudbury / Grand Sudbury,GRE-SOUTHWEST-GR,Southwest Greater Sudbury / Grand Sudbury,Higher-Income Suburban Market,0,GRE-SOUTHWEST-GR-C,Southwest Greater Sudbury / Grand Sudbury centroid candidate,Approximate market-zone centroid; no property address collected,46.407033,-81.196925,1,2203,,0.027999999999999997,139.17,15.8,312,0.141625056740808,363,0.1648660916931457,363,0.16477530640036314,871,86,0.0996523754345307,51,0.05855338691159587,127852,112859,1122,1041,83,0.5835201793721974,0.07397504456327986,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,12.55,18.39,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,27.7,12.8,77.4,,1.8,,34.2,13,3,123,Insufficient data,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
OSH-SOUTHWEST-OS-5KM,Ontario,,M0008,Oshawa,OSH-SOUTHWEST-OS,Southwest Oshawa,Mixed Residential Market,0,OSH-SOUTHWEST-OS-C,Southwest Oshawa centroid candidate,Approximate market-zone centroid; no property address collected,43.898846,-78.877778,5,49350,,0.1,26.38,1870.7,10420,0.21114488348530902,11338,0.2297467071935157,11338,0.2297467071935157,21085,9285,0.44151212553495006,8355,0.3962532606118093,87686,76776,23790,20150,3645,0.4927855221325508,0.1532156368221942,,,,,,,,,,,,6,1,,4,2,1,5,1.22,0.2,8225,1890,11338,0,0.68,2.51,,,,,,,,,,1,5,5,6,6,,,,0,0,,0,,1.83,0,,1,1,2,0,,,,,,,,,,62.8,61.5,28.4,,12.3,,34,12,3,124,Insufficient data,2021,2026-07-27,,1,0.67,0,0.75,74.9,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GUE-SOUTH-GUELPH-3KM,Ontario,,M0003,Guelph,GUE-SOUTH-GUELPH,South Guelph,Mixed Residential Market,0,GUE-SOUTH-GUELPH-C,South Guelph centroid candidate,Approximate market-zone centroid; no property address collected,43.517929,-80.23856,3,22586,,0.091,8.64,1568.5,3618,0.2669795448507925,3978,0.2935446736916674,6630,0.2935446736916674,5385,2172,0.4004424778761062,1518,0.2818941504178273,115684,97081,7638,6690,948,0.5793712652637049,0.12411626080125687,,,,,,,,,,,,4,2,,2,1,0,4,1.77,0.89,5647,1658,3315,0,1.25,1.48,,,,,,,,,,2,3,2,4,4,,,,0,0,,0,,1.75,0,,1,1,2,0,,,,,,,,,,59.2,55.4,56,,7.8,,33.8,7,2,125,Insufficient data,2021,2026-07-27,,1,0.79,0,0.75,78.8,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-NORTH-LONDON-5KM,Ontario,,M0007,London,LON-NORTH-LONDON,North London,Higher-Income Suburban Market,0,LON-NORTH-LONDON-C,North London centroid candidate,Approximate market-zone centroid; no property address collected,43.030798,-81.259027,5,72942,,0.1,52.75,1382.8,15075,0.20667105371390967,17031,0.23348687998683887,17031,0.23348687998683887,26995,9430,0.34925925925925927,6990,0.2589368401555844,115405,96264,36235,31950,4250,0.5490162385084629,0.1172899130674762,,,,,,,,,,,,8,2,,4,2,4,4,1.1,0.27,9118,2129,8516,0,1.25,3.84,,,,,,,,,,1,5,5,8,8,,,,0,0,,0,,1.38,0,,1,1,2,0,,,,,,,,,,52.5,61.5,54.9,,13.9,,33.5,16,3,126,Insufficient data,2021,2026-07-27,,1,0.64,0,0.75,73.6,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
WAT-WEST-WATERLO-5KM,Ontario,,M0011,Waterloo,WAT-WEST-WATERLO,West Waterloo,Higher-Income Suburban Market,0,WAT-WEST-WATERLO-C,West Waterloo centroid candidate,Approximate market-zone centroid; no property address collected,43.481344,-80.576422,5,26935,,0.157,19.52,1379.9,5315,0.19732689808798962,6155,0.22851308706144421,6155,0.22851308706144421,8860,1740,0.19627749576988154,900,0.10158013544018059,142732,118884,13965,12400,1550,0.5871212121212122,0.11099176512710347,,,,,,,,,,,,11,2,,7,5,6,5,4.08,0.74,2449,560,3078,0,1.58,2.64,,,,,,,,,,1,8,8,11,11,,,,0,0,,0,,1.55,0,,1,1,2,0,,,,,,,,,,41.1,100,85.6,,2.2,,33.5,12,3,127,Insufficient data,2021,2026-07-27,,1,0.59,0,0.75,71.9,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
BAR-NORTHEAST-BA-5KM,Ontario,,M0001,Barrie,BAR-NORTHEAST-BA,Northeast Barrie,Mixed Residential Market,0,BAR-NORTHEAST-BA-C,Northeast Barrie centroid candidate,Approximate market-zone centroid; no property address collected,44.402199,-79.674172,5,35360,,0.045,13.73,2575.4,9125,0.25805995475113125,9817,0.27763009049773757,9817,0.27763009049773757,14805,6645,0.4500507958008805,5905,0.3988517392772712,94266,79329,18865,16515,2395,0.5556864064602961,0.12695467797508614,,,,,,,,,,,,4,3,,1,0,0,4,1.13,0.85,8840,2454,3272,0,1.3,1.54,,,,,,,,,,1,3,3,4,4,,,,0,0,,0,,1.75,0,,1,1,2,0,,,,,,,,,,69.9,24.3,31.8,,13.4,,33.4,6,2,128,Insufficient data,2021,2026-07-27,,1,0.82,0,0.75,80.1,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-SOUTH-KITCHE-5KM,Ontario,,M0006,Kitchener,KIT-SOUTH-KITCHE,South Kitchener,Higher-Income Suburban Market,0,KIT-SOUTH-KITCHE-C,South Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.389653,-80.455306,5,48001,,0.10099999999999999,46.97,1022,11025,0.22968271494343867,12275,0.25572383908668567,12275,0.25572383908668567,15970,4015,0.2528337531486146,2315,0.14495929868503443,127335,111861,26660,24060,2605,0.6385350318471338,0.0977119279819955,,,,,,,,,,,,5,2,,3,1,0,5,1.04,0.42,9600,2455,6138,0,2,3.25,,,,,,,,,,2,4,4,5,5,,,,0,0,,0,,2,0,,1,1,2,0,,,,,,,,,,45.5,62.2,76.1,,14.7,,33.4,13,3,129,Insufficient data,2021,2026-07-27,,1,0.79,0,0.75,78.9,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
BAR-NORTHEAST-BA-3KM,Ontario,,M0001,Barrie,BAR-NORTHEAST-BA,Northeast Barrie,Mixed Residential Market,0,BAR-NORTHEAST-BA-C,Northeast Barrie centroid candidate,Approximate market-zone centroid; no property address collected,44.402199,-79.674172,3,33209,,0.045,8.24,2575.4,5475,0.25805995475113125,5890,0.27763009049773757,9220,0.2776355807160709,8883,3987,0.4500507958008805,3543,0.3988517392772712,94266,79329,11319,9909,1437,0.5556864064602961,0.12695467797508614,,,,,,,,,,,,4,3,,1,0,0,4,1.2,0.9,8302,2305,3073,0,1.3,1.54,,,,,,,,,,1,3,3,4,4,,,,0,0,,0,,1.75,0,,1,1,2,0,,,,,,,,,,69.9,24.3,31.8,,12.4,,33.2,7,3,130,Insufficient data,2021,2026-07-27,,1,0.82,0,0.75,80.1,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-NORTHEAST-LO-3KM,Ontario,,M0007,London,LON-NORTHEAST-LO,Northeast London,Lower-Density Residential Market,0,LON-NORTHEAST-LO-C,Northeast London centroid candidate,Approximate market-zone centroid; no property address collected,43.004176,-81.188478,3,48597,,0.1,33.37,1111.1,9513,0.25654924677594215,10306,0.27794048639989644,13507,0.2779389674259728,15348,6417,0.4174473067915691,4344,0.2830336200156372,78299,69190,19482,16665,2841,0.534545804464973,0.14582691715429627,,,,,,,,,,,,4,3,,1,1,1,3,0.82,0.62,12149,3377,4502,0,1.31,1.31,,,,,,,,,,2,2,2,4,4,,,,0,0,,0,,1.5,0,,1,1,2,0,,,,,,,,,,58.3,61.5,18,,19.1,,33.1,17,3,131,Insufficient data,2021,2026-07-27,,1,0.86,0,0.75,81.4,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GUE-NORTH-GUELPH-5KM,Ontario,,M0003,Guelph,GUE-NORTH-GUELPH,North Guelph,Mixed Residential Market,0,GUE-NORTH-GUELPH-C,North Guelph centroid candidate,Approximate market-zone centroid; no property address collected,43.56345,-80.2423,5,51276,,0.091,25.52,2009.2,10805,0.2107223652390982,11833,0.23077073094625167,11833,0.23077073094625167,21280,6870,0.3232180663373324,7340,0.3449248120300752,104641,89863,28460,25690,2740,0.6153293413173653,0.09627547434996486,,,,,,,,,,,,8,2,,4,2,3,5,1.56,0.39,6410,1479,5917,0,0.65,1.34,,,,,,,,,,2,5,4,8,8,,,,0,0,,0,,1.38,0,,1,1,2,0,,,,,,,,,,58.8,55.4,46.1,,9.1,,33,8,3,132,Insufficient data,2021,2026-07-27,,1,0.64,0,0.75,73.8,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GUE-WEST-GUELPH-5KM,Ontario,,M0003,Guelph,GUE-WEST-GUELPH,West Guelph,Mixed Residential Market,0,GUE-WEST-GUELPH-C,West Guelph centroid candidate,Approximate market-zone centroid; no property address collected,43.534926,-80.278632,5,40652,,0.091,21.73,1870.8,8845,0.21757847092393978,9729,0.23932401849847487,9729,0.23932401849847487,15800,6500,0.41191381495564006,6130,0.3879746835443038,100094,88726,22195,19630,2595,0.5892240732402821,0.11691822482541113,,,,,,,,,,,,10,2,,5,4,5,5,2.46,0.49,4065,973,4865,0,1.07,2.53,,,,,,,,,,2,6,5,10,10,,,,0,0,,0,,1.3,0,,1,1,2,0,,,,,,,,,,62,55.4,44.6,,5,,33,9,3,133,Insufficient data,2021,2026-07-27,,1,0.6,0,0.75,72.4,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
THU-WEST-THUNDER-1KM,Ontario,,M0010,Thunder Bay,THU-WEST-THUNDER,West Thunder Bay,Higher-Income Suburban Market,0,THU-WEST-THUNDER-C,West Thunder Bay centroid candidate,Approximate market-zone centroid; no property address collected,48.383708,-89.352748,1,2140,,0.009000000000000001,34.21,62.5,314,0.14675640306599363,363,0.1695644045616003,363,0.16962616822429907,813,32,0.03975155279503106,13,0.015990159901599015,141705,126099,1099,1007,91,0.5641456582633053,0.08280254777070063,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,3.11,8.35,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,23,0,95.4,,1.7,,33,9,3,134,Insufficient data,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
