Analysis_ID,Province,Census_Division,Municipality_ID,Municipality_Name,Market_Zone_ID,Market_Zone_Name,Zone_Type,Is_Official_Zone,Candidate_ID,Candidate_Name,Candidate_Address,Latitude,Longitude,Radius_km,Population,Previous_Population,Population_Growth_Pct,Land_Area_km2,Population_Density,Population_20_34,Age_20_34_Pct,Population_18_34_Estimated,Age_18_34_Pct,Target_Age_Population,Target_Age_Pct,Private_Households,Renter_Households,Renter_Pct,Apartment_Dwellings,Apartment_Pct,Average_Household_Income,Estimated_Median_Income,Labour_Force_Population,Employed_Population,Unemployed_Population,Employment_Rate,Unemployment_Rate,Transit_Stops,Transit_Commuters,Transit_Commuter_Pct,Walking_Commuters,Nearest_College_km,Nearest_University_km,Education_Facilities_Count,Parking_Available,Parking_Spaces,Road_Visibility_Rating,Accessibility_Rating,Total_Gym_Count,Budget_Gym_Count,Midmarket_Gym_Count,Premium_Gym_Count,Boutique_Gym_Count,Independent_Gym_Count,Chain_Gym_Count,Gyms_Per_10k,Budget_Gyms_Per_10k,Population_Per_Gym,Target_Population_Per_Gym,Target_Population_Per_Budget_Gym,No_Budget_Gym_Flag,Nearest_Gym_km,Nearest_Budget_Gym_km,Gyms_With_Verified_Prices,Price_Completeness_Pct,Minimum_Monthly_Fee,Average_Monthly_Fee,Median_Monthly_Fee,Maximum_Monthly_Fee,Average_Joining_Fee,No_Contract_Gym_Count,Free_Trial_Gym_Count,Open_24_7_Count,Personal_Training_Count,Group_Classes_Count,Cardio_Equipment_Count,Free_Weights_Count,Showers_Count,Locker_Count,Parking_Count,Pool_Count,Sauna_Count,Childcare_Count,Women_Only_Area_Count,Accessible_Gym_Count,Average_Service_Count,No_24_7_Gym_Flag,No_Childcare_Gym_Flag,No_Pool_Gym_Flag,No_Women_Only_Gym_Flag,Missing_Service_Count,Service_Gap_Score,Commercial_Space_Available,Floor_Area_sqft,Monthly_Rent,Annual_Rent_Per_sqft,Zoning_Compatible,Parking_Requirement_Met,Property_Condition_Rating,Property_Cost_Score,Property_Suitability_Score,Demand_Score,Growth_Score,Affordability_Fit_Score,Accessibility_Score,Competition_Gap_Score,Property_Score,Opportunity_Score,Municipality_Rank,Market_Zone_Rank,Candidate_Rank,Recommendation_Category,Census_Year,Gym_Data_Date,Property_Data_Date,Census_Completeness_Pct,Gym_Location_Completeness_Pct,Price_Completeness_Pct_Quality,Service_Completeness_Pct,Data_Quality_Score,Missing_Required_Fields,Primary_Census_Source_ID,Boundary_Source_ID,Analysis_Status,Last_Refresh_Date,Limitations
HAM-WEST-2-HAMIL-1KM,Ontario,,M0004,Hamilton,HAM-WEST-2-HAMIL,West 2 Hamilton,Higher-Income Suburban Market,0,HAM-WEST-2-HAMIL-C,West 2 Hamilton centroid candidate,Approximate market-zone centroid; no property address collected,43.272789,-80.131081,1,1669,,0.06,56.8,29.4,257,0.15402133525110873,300,0.17967158096607935,300,0.17974835230677053,574,54,0.09557522123893805,40,0.06968641114982578,140423,115581,896,839,51,0.6265870052277819,0.056919642857142856,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,12.13,14.52,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,29,34.5,81.1,,0.9,,36.9,17,3,101,Lower priority,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIT-EAST-KITCHEN-1KM,Ontario,,M0006,Kitchener,KIT-EAST-KITCHEN,East Kitchener,Mixed Residential Market,0,KIT-EAST-KITCHEN-C,East Kitchener centroid candidate,Approximate market-zone centroid; no property address collected,43.435535,-80.4351,1,11177,,0.10099999999999999,5.92,1812.3,2355,0.21935952607164813,2586,0.24085769108962538,2692,0.2408517491276729,4133,1726,0.41670690487687106,1541,0.37285264940721025,105316,91269,5570,4944,618,0.5653516295025729,0.11095152603231599,,,,,,,,,,,,1,1,,0,0,0,1,0.89,0.89,11177,2692,2692,0,0.53,0.53,,,,,,,,,,1,0,0,1,1,,,,0,0,,0,,1,0,,1,1,2,0,,,,,,,,,,60.8,62.2,48.1,,17.4,,36.7,10,2,102,Lower priority,2021,2026-07-27,,1,1,0,0.75,86.3,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
LON-CENTRAL-LOND-5KM,Ontario,,M0007,London,LON-CENTRAL-LOND,Central London,Student / Young Adult Market,0,LON-CENTRAL-LOND-C,Central London centroid candidate,Approximate market-zone centroid; no property address collected,42.984248,-81.246192,5,66084,,0.1,23.59,2801.4,20375,0.3083197143030083,21415,0.32405726045638883,21415,0.32405726045638883,34290,20540,0.6000584282792871,20480,0.5972586759988335,77565,63103,36915,31540,5370,0.5558198960260816,0.14546932141405933,,,,,,,,,,,,15,4,,5,3,8,7,2.27,0.61,4406,1428,5354,0,0.14,2.75,,,,,,,,,,3,6,6,15,15,,,,0,0,,0,,1,0,,1,1,2,0,,,,,,,,,,80.5,61.5,9.8,,5.6,,36.7,11,3,103,Lower priority,2021,2026-07-27,,1,0.64,0,0.75,73.5,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
THU-WEST-THUNDER-5KM,Ontario,,M0010,Thunder Bay,THU-WEST-THUNDER,West Thunder Bay,Higher-Income Suburban Market,0,THU-WEST-THUNDER-C,West Thunder Bay centroid candidate,Approximate market-zone centroid; no property address collected,48.383708,-89.352748,5,10698,,0.009000000000000001,171.06,62.5,1570,0.14675640306599363,1814,0.1695644045616003,1814,0.1695644045616003,4065,160,0.03975155279503106,65,0.015990159901599015,141705,126099,5495,5035,455,0.5641456582633053,0.08280254777070063,,,,,,,,,,,,1,0,,1,0,0,1,0.93,0,10698,1814,,1,3.11,8.35,,,,,,,,,,0,1,1,1,1,,,,0,0,,0,,2,1,,1,1,3,100,,,,,,,,,,23,0,95.4,,16.6,,36.7,7,1,104,Lower priority,2021,2026-07-27,,1,0.85,0,0.75,81,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GRE-NORTH-GREATE-1KM,Ontario,,M0002,Greater Sudbury / Grand Sudbury,GRE-NORTH-GREATE,North Greater Sudbury / Grand Sudbury,Higher-Income Suburban Market,0,GRE-NORTH-GREATE-C,North Greater Sudbury / Grand Sudbury centroid candidate,Approximate market-zone centroid; no property address collected,46.650153,-80.968438,1,5760,,0.027999999999999997,247.95,23.2,959,0.16649305555555555,1101,0.1910763888888889,1101,0.19114583333333332,2238,345,0.1542933810375671,215,0.09606791778373548,117849,106092,3057,2756,306,0.5769311283232154,0.10009813542688911,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,1.54,14.66,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,32.6,12.8,68.2,,8,,36.5,10,3,105,Lower priority,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
KIN-NORTHEAST-2--1KM,Ontario,,M0005,Kingston,KIN-NORTHEAST-2-,Northeast 2 Kingston,Higher-Income Suburban Market,0,KIN-NORTHEAST-2--C,Northeast 2 Kingston centroid candidate,Approximate market-zone centroid; no property address collected,44.334765,-76.361661,1,1168,,0.07,40.6,28.8,190,0.16272696128811237,214,0.1829393627954779,214,0.1832191780821918,404,34,0.08478802992518704,1,0.0024752475247524753,131256,116156,542,476,62,0.5458715596330275,0.11439114391143912,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,14.39,17.64,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,25.8,41.2,81.9,,0,,36.3,9,3,106,Lower priority,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
WAT-SOUTHWEST-WA-5KM,Ontario,,M0011,Waterloo,WAT-SOUTHWEST-WA,Southwest Waterloo,Higher-Income Suburban Market,0,WAT-SOUTHWEST-WA-C,Southwest Waterloo centroid candidate,Approximate market-zone centroid; no property address collected,43.453532,-80.560197,5,31722,,0.157,13.66,2322.3,6665,0.21010655065884876,7529,0.23734316877876552,7529,0.23734316877876552,11530,3085,0.2636752136752137,1870,0.16218560277536861,137907,115378,16825,14910,1885,0.5688668447157573,0.11203566121842497,,,,,,,,,,,,11,3,,5,3,5,6,3.47,0.95,2884,684,2510,0,1.43,4.2,,,,,,,,,,2,7,6,11,11,,,,0,0,,0,,1.36,0,,1,1,2,0,,,,,,,,,,49.9,100,80.8,,3,,36.3,9,3,107,Lower priority,2021,2026-07-27,,1,0.61,0,0.75,72.6,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
WAT-WEST-WATERLO-3KM,Ontario,,M0011,Waterloo,WAT-WEST-WATERLO,West Waterloo,Higher-Income Suburban Market,0,WAT-WEST-WATERLO-C,West Waterloo centroid candidate,Approximate market-zone centroid; no property address collected,43.481344,-80.576422,3,26935,,0.157,11.71,1379.9,3189,0.19732689808798962,3693,0.22851308706144421,6155,0.22851308706144421,5316,1044,0.19627749576988154,540,0.10158013544018059,142732,118884,8379,7440,930,0.5871212121212122,0.11099176512710347,,,,,,,,,,,,3,1,,1,1,1,2,1.11,0.37,8978,2052,6155,0,1.58,2.64,,,,,,,,,,1,1,1,3,3,,,,0,0,,0,,1,0,,1,1,2,0,,,,,,,,,,41.1,100,85.6,,13.6,,36.3,10,2,108,Lower priority,2021,2026-07-27,,1,0.7,0,0.75,75.8,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GRE-WEST-GREATER-1KM,Ontario,,M0002,Greater Sudbury / Grand Sudbury,GRE-WEST-GREATER,West Greater Sudbury / Grand Sudbury,Lower-Density Residential Market,0,GRE-WEST-GREATER-C,West Greater Sudbury / Grand Sudbury centroid candidate,Approximate market-zone centroid; no property address collected,46.579991,-81.216544,1,3990,,0.027999999999999997,109.71,36.4,668,0.1674185463659148,748,0.18736842105263157,748,0.187468671679198,1673,417,0.24880668257756564,288,0.17214584578601316,106627,93289,1957,1822,136,0.5502869223799456,0.06949412365866121,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,1.38,1.38,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,38.6,12.8,50.8,,4.9,,36.1,11,1,109,Lower priority,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
GRE-SOUTHWEST-GR-3KM,Ontario,,M0002,Greater Sudbury / Grand Sudbury,GRE-SOUTHWEST-GR,Southwest Greater Sudbury / Grand Sudbury,Higher-Income Suburban Market,0,GRE-SOUTHWEST-GR-C,Southwest Greater Sudbury / Grand Sudbury centroid candidate,Approximate market-zone centroid; no property address collected,46.407033,-81.196925,3,6609,,0.027999999999999997,417.52,15.8,936,0.141625056740808,1090,0.1648660916931457,1090,0.16492661522166743,2613,258,0.0996523754345307,153,0.05855338691159587,127852,112859,3366,3123,249,0.5835201793721974,0.07397504456327986,,,,,,,,,,,,0,0,,0,0,0,0,0,0,,,,1,12.55,18.39,,,,,,,,,,0,0,0,0,0,,,,0,0,,0,,,1,,1,1,3,100,,,,,,,,,,27.7,12.8,77.4,,9.5,,36.1,12,2,110,Lower priority,2021,2026-07-27,,1,0.6,0,0.6,70,12,SRC_STATCAN_2021_PROFILE,SRC_STATCAN_2021_DA_GEOGRAPHY,Screening dataset - not property validated,2026-07-27,"Candidate is market-zone centroid; transit, real estate, price and property data not collected; estimated median income from DA aggregation."
