DA_DGUID,DA_ID,Municipality,CSD_DGUID,Census_Year,Characteristic_ID,Characteristic_Name,Value,Flag,Topic_ID,Release_Date,Data_Quality_Flag,TNR_SF_Pct,TNR_LF_Pct
2021S051235430648,35430648,Barrie,2021A00053543042,2021,2224,Population in the labour force,340,,15,2022-11-30,00000,2.2,4.4
2021S051235430648,35430648,Barrie,2021A00053543042,2021,2225,Employed population,290,,15,2022-11-30,00000,2.2,4.4
2021S051235430648,35430648,Barrie,2021A00053543042,2021,2226,Unemployed population,45,,15,2022-11-30,00000,2.2,4.4
2021S051235430648,35430648,Barrie,2021A00053543042,2021,2228,Participation rate,76.4,,15,2022-11-30,00000,2.2,4.4
2021S051235430648,35430648,Barrie,2021A00053543042,2021,2229,Employment rate,65.2,,15,2022-11-30,00000,2.2,4.4
2021S051235430648,35430648,Barrie,2021A00053543042,2021,2230,Unemployment rate,13.2,,15,2022-11-30,00000,2.2,4.4
2021S051235430649,35430649,Barrie,2021A00053543042,2021,1,"Population, 2021",420,,1,2022-02-09,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,6,Population density per square kilometre,4285.7,,1,2022-02-09,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,7,Land area in square kilometres,0.1,,1,2022-02-09,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,14,Population aged 15 to 19,25,,2,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,15,Population aged 20 to 24,20,,2,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,16,Population aged 25 to 29,45,,2,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,17,Population aged 30 to 34,30,,2,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,41,"Occupied private dwellings by structural type, total",145,,4,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,45,Apartment or flat in a duplex,5,,4,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,46,Apartment in a building with fewer than five storeys,0,,4,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,47,Apartment in a building with five or more storeys,0,,4,2022-04-27,00000,2.7,0
2021S051235430649,35430649,Barrie,2021A00053543042,2021,228,"Private households income statistics, total",145,,7,2022-07-13,00000,2.7,0
