DA_DGUID,DA_ID,Municipality,CSD_DGUID,Census_Year,Municipality_Population_2021,Municipality_Population_2016,Municipality_Pop_Growth_Pct,TNR_SF_Pct,TNR_LF_Pct,Data_Quality_Flag,Population,Population_Density_Reported,Land_Area_km2,Age_15_19,Age_20_24,Age_25_29,Age_30_34,Occupied_Dwellings,Apartment_Duplex,Apartment_Under_5_Storeys,Apartment_5Plus_Storeys,Income_Household_Base_100Pct,Median_Household_Income,Income_Household_Base_25Pct,Average_Household_Income,Tenure_Household_Base,Renter_Households,Population_15Plus_Labour_Status,Labour_Force,Employed,Unemployed,Participation_Rate_Reported,Employment_Rate_Reported,Unemployment_Rate_Reported,Flag_1,Flag_6,Flag_7,Flag_14,Flag_15,Flag_16,Flag_17,Flag_41,Flag_45,Flag_46,Flag_47,Flag_228,Flag_229,Flag_237,Flag_238,Flag_1400,Flag_1402,Flag_2223,Flag_2224,Flag_2225,Flag_2226,Flag_2228,Flag_2229,Flag_2230
2021S051235100241,35100241,Kingston,2021A00053510010,2021,132485,123798,7,1.5,1.4,00000,707,2969.3,0.24,55,50,35,25,275,0,0,0,275,109000,280,138000,280,25,625,395,350,45,63.2,56,11.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100242,35100242,Kingston,2021A00053510010,2021,132485,123798,7,0.4,2.4,00000,1411,3270,0.43,105,75,45,70,500,5,0,0,495,108000,505,124000,505,75,1110,675,595,75,60.8,53.6,11.1,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100243,35100243,Kingston,2021A00053510010,2021,132485,123798,7,1.8,6.5,00000,1129,616.5,1.83,65,80,115,55,550,5,5,315,545,63200,550,104000,550,285,940,495,455,35,52.7,48.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100244,35100244,Kingston,2021A00053510010,2021,132485,123798,7,2.3,3.6,00000,528,1550.2,0.34,0,10,10,10,340,0,0,305,340,83000,340,98000,340,245,520,115,105,10,22.1,20.2,8.7,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100263,35100263,Kingston,2021A00053510010,2021,132485,123798,7,0,0,00999,568,534.9,1.06,0,45,90,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6
2021S051235100264,35100264,Kingston,2021A00053510010,2021,132485,123798,7,2.9,4.4,00000,487,17.6,27.69,25,20,20,35,175,0,0,0,175,113000,175,115000,175,25,385,245,200,40,63.6,51.9,16.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100265,35100265,Kingston,2021A00053510010,2021,132485,123798,7,1.2,2.3,00000,458,11,41.82,30,20,15,40,170,0,0,0,165,105000,170,115000,170,20,375,255,230,20,68,61.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100266,35100266,Kingston,2021A00053510010,2021,132485,123798,7,2.1,4.2,00000,503,18.9,26.66,30,20,30,30,190,0,0,0,190,125000,185,135000,185,15,385,265,230,30,68.8,59.7,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100268,35100268,Kingston,2021A00053510010,2021,132485,123798,7,1.9,1.6,00000,642,16.3,39.41,20,20,40,25,260,0,0,0,260,94000,265,113000,265,35,555,380,310,70,68.5,55.9,18.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100269,35100269,Kingston,2021A00053510010,2021,132485,123798,7,7.2,11.3,00010,606,49.2,12.32,20,15,20,45,245,0,0,0,250,95000,235,100000,235,15,510,255,210,45,50,41.2,17.6,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100270,35100270,Kingston,2021A00053510010,2021,132485,123798,7,1.6,2.7,00000,839,73.7,11.39,70,45,30,35,305,5,0,0,305,128000,305,160000,305,15,725,475,440,25,65.5,60.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100271,35100271,Kingston,2021A00053510010,2021,132485,123798,7,2.1,3.4,00000,619,95,6.52,20,10,20,20,235,0,60,0,235,79000,225,77500,230,65,395,180,150,30,45.6,38,16.7,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100272,35100272,Kingston,2021A00053510010,2021,132485,123798,7,1.3,1.8,00000,637,41.1,15.5,45,30,30,40,230,0,0,0,230,119000,235,135000,230,25,535,370,325,50,69.2,60.7,13.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100273,35100273,Kingston,2021A00053510010,2021,132485,123798,7,0,0,00000,506,75,6.75,25,25,30,20,195,5,0,0,195,106000,215,156000,215,20,445,275,245,30,61.8,55.1,10.9,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100274,35100274,Kingston,2021A00053510010,2021,132485,123798,7,1,1.3,00000,783,42.4,18.45,55,35,35,45,310,15,5,0,310,93000,310,119000,310,15,715,420,365,55,58.7,51,13.1,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100275,35100275,Kingston,2021A00053510010,2021,132485,123798,7,2.5,7.6,00000,961,170.1,5.65,15,65,80,95,640,0,5,635,640,45200,645,54400,645,645,965,455,405,50,47.2,42,11,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100280,35100280,Kingston,2021A00053510010,2021,132485,123798,7,0.8,3.2,00000,627,2613.6,0.24,35,30,55,50,245,5,0,0,245,99000,245,117000,245,50,475,300,260,35,63.2,54.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100282,35100282,Kingston,2021A00053510010,2021,132485,123798,7,1.8,3.6,00000,1113,1354,0.82,60,55,50,60,445,15,0,0,450,124000,460,143000,460,40,985,580,500,75,58.9,50.8,12.9,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100283,35100283,Kingston,2021A00053510010,2021,132485,123798,7,2.9,0,00909,249,37.7,6.61,15,10,10,15,100,0,0,0,,,,,115,10,265,160,155,0,60.4,58.5,0,,,,,,,,,,,,6,6,6,6,,,,,,,,,
2021S051235100284,35100284,Kingston,2021A00053510010,2021,132485,123798,7,0.8,0,00000,359,1245.2,0.29,10,10,40,75,120,0,0,0,120,97000,135,106000,135,130,275,200,190,15,72.7,69.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100285,35100285,Kingston,2021A00053510010,2021,132485,123798,7,0,0,09999,31,68.6,0.45,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2021S051235100286,35100286,Kingston,2021A00053510010,2021,132485,123798,7,3.7,5.7,00000,400,219.9,1.82,35,30,20,40,135,0,0,0,135,120000,145,158000,145,70,335,205,170,35,61.2,50.7,17.1,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100287,35100287,Kingston,2021A00053510010,2021,132485,123798,7,3.4,1.5,00000,591,1260.1,0.47,20,45,95,100,260,0,135,0,265,87000,295,97000,300,280,490,435,410,30,88.8,83.7,6.9,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100288,35100288,Kingston,2021A00053510010,2021,132485,123798,7,0,0,09999,0,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2021S051235100289,35100289,Kingston,2021A00053510010,2021,132485,123798,7,1.2,0,00000,940,407.6,2.31,60,40,25,30,345,0,0,0,345,162000,355,209000,355,20,840,600,575,20,71.4,68.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100290,35100290,Kingston,2021A00053510010,2021,132485,123798,7,3.8,4.3,00000,1098,40.5,27.13,55,45,30,45,445,0,0,0,445,133000,445,148000,440,20,890,465,435,30,52.2,48.9,6.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100294,35100294,Kingston,2021A00053510010,2021,132485,123798,7,1.9,3,00000,671,42.1,15.95,40,35,25,45,265,10,5,0,265,93000,270,117000,270,65,600,365,325,45,60.8,54.2,12.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100295,35100295,Kingston,2021A00053510010,2021,132485,123798,7,1.6,3.2,00000,652,25.2,25.88,25,40,50,50,245,0,0,0,245,106000,240,114000,240,20,555,360,330,30,64.9,59.5,8.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100305,35100305,Kingston,2021A00053510010,2021,132485,123798,7,2.4,1.6,00000,682,14.9,45.79,40,20,40,45,245,0,0,0,250,104000,255,112000,260,20,605,390,365,25,64.5,60.3,6.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100316,35100316,Kingston,2021A00053510010,2021,132485,123798,7,0,0,09999,0,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2021S051235100317,35100317,Kingston,2021A00053510010,2021,132485,123798,7,0.8,3.8,00000,957,152.8,6.26,15,40,65,55,525,25,55,315,525,75000,490,90800,495,385,855,425,390,40,49.7,45.6,9.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100318,35100318,Kingston,2021A00053510010,2021,132485,123798,7,1,2.3,00000,4676,2908,1.61,240,225,200,250,1715,15,15,0,1715,110000,1720,125700,1715,320,3685,2205,1980,225,59.8,53.7,10.2,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100320,35100320,Kingston,2021A00053510010,2021,132485,123798,7,1.5,3.1,00000,1552,791,1.96,90,60,105,125,520,0,0,0,520,143000,495,153500,495,65,1115,790,715,75,70.9,64.1,9.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100321,35100321,Kingston,2021A00053510010,2021,132485,123798,7,0.7,0.8,00000,4448,1117.6,3.98,330,200,190,275,1545,5,0,0,1545,138000,1535,149600,1540,140,3440,2410,2180,230,70.1,63.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100322,35100322,Kingston,2021A00053510010,2021,132485,123798,7,3.3,6.5,00000,543,41.2,13.18,35,35,15,20,180,0,0,0,180,170000,185,204000,180,15,475,335,300,25,70.5,63.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100323,35100323,Kingston,2021A00053510010,2021,132485,123798,7,1.5,1.9,00000,1519,790.9,1.92,40,25,55,80,850,0,0,675,855,82000,860,96600,860,540,1460,550,510,35,37.7,34.9,6.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100324,35100324,Kingston,2021A00053510010,2021,132485,123798,7,1.2,3.3,00000,677,2079.9,0.33,45,50,50,50,250,5,0,0,250,96000,235,99000,235,55,470,335,315,20,71.3,67,6,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100325,35100325,Kingston,2021A00053510010,2021,132485,123798,7,3.3,4,00000,1548,904.5,1.71,50,55,80,70,700,20,0,320,705,75500,715,97200,720,415,1340,705,615,90,52.6,45.9,12.8,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100328,35100328,Kingston,2021A00053510010,2021,132485,123798,7,2.4,6,00000,663,3068,0.22,15,60,80,65,415,0,415,0,415,53600,400,58400,395,295,585,320,280,40,54.7,47.9,12.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100329,35100329,Kingston,2021A00053510010,2021,132485,123798,7,2.3,5.3,00000,921,3924.2,0.23,50,50,75,90,390,80,0,0,390,81000,380,90800,380,125,770,475,425,45,61.7,55.2,9.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100330,35100330,Kingston,2021A00053510010,2021,132485,123798,7,1.9,1.6,00000,690,544,1.27,35,30,45,50,255,0,0,0,260,113000,255,125000,255,35,540,370,335,35,68.5,62,9.5,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235100331,35100331,Kingston,2021A00053510010,2021,132485,123798,7,2,4.4,00000,4665,1787.2,2.61,265,250,375,505,1665,30,25,20,1660,112000,1675,124700,1675,520,3560,2740,2460,285,77,69.1,10.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180086,35180086,Oshawa,2021A00053518013,2021,175383,159458,10,0,0,00000,267,5124.8,0.05,20,20,20,20,85,5,0,0,85,102000,80,122000,85,0,200,120,115,0,60,57.5,0,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180087,35180087,Oshawa,2021A00053518013,2021,175383,159458,10,2,2.6,00000,894,6413.2,0.14,70,50,70,65,305,10,0,50,300,87000,305,88000,305,165,695,405,340,60,58.3,48.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180091,35180091,Oshawa,2021A00053518013,2021,175383,159458,10,1,1.3,00000,1913,9053.5,0.21,105,135,160,150,940,0,15,845,935,48400,945,56000,945,935,1645,805,540,255,48.9,32.8,31.7,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180094,35180094,Oshawa,2021A00053518013,2021,175383,159458,10,1,4,00000,293,3880.8,0.08,20,20,30,30,100,0,0,0,100,92000,105,106000,105,35,255,140,120,15,54.9,47.1,10.7,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180097,35180097,Oshawa,2021A00053518013,2021,175383,159458,10,1.1,1.1,00000,950,1957.1,0.49,40,65,65,80,370,5,0,0,370,99000,380,111600,375,40,820,545,465,80,66.5,56.7,14.7,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180098,35180098,Oshawa,2021A00053518013,2021,175383,159458,10,0.4,2.9,00000,672,4266.7,0.16,40,35,50,55,275,5,50,0,280,79500,280,88000,280,80,575,345,325,20,60,56.5,5.8,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180099,35180099,Oshawa,2021A00053518013,2021,175383,159458,10,0.7,0,00000,389,2847.7,0.14,20,20,40,25,150,0,0,0,155,102000,150,96000,150,20,330,180,155,25,54.5,47,13.9,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180101,35180101,Oshawa,2021A00053518013,2021,175383,159458,10,0.6,0,00000,810,1878,0.43,30,35,25,40,360,5,0,155,360,101000,375,112400,375,15,730,275,245,30,37.7,33.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180102,35180102,Oshawa,2021A00053518013,2021,175383,159458,10,0.3,2.8,00000,925,10693.6,0.09,15,15,20,15,580,0,230,235,580,52000,575,59800,575,535,905,145,120,25,16,13.3,17.2,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180103,35180103,Oshawa,2021A00053518013,2021,175383,159458,10,1,1.9,00000,360,5538.5,0.07,5,0,0,10,210,0,0,135,210,66000,200,73500,200,190,335,80,60,20,23.9,17.9,25,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180104,35180104,Oshawa,2021A00053518013,2021,175383,159458,10,1.2,0,00000,338,6179.2,0.05,15,15,20,10,165,0,0,0,165,70000,175,70500,180,180,305,155,125,30,50.8,41,19.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180107,35180107,Oshawa,2021A00053518013,2021,175383,159458,10,2,3.8,00000,514,2155.1,0.24,20,30,35,25,205,25,5,0,205,91000,200,97000,200,30,400,220,185,35,55,46.3,15.9,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180108,35180108,Oshawa,2021A00053518013,2021,175383,159458,10,3.4,5.4,00000,373,2722.6,0.14,15,10,20,40,150,0,0,0,145,108000,140,124000,140,20,315,200,180,20,63.5,57.1,10,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180109,35180109,Oshawa,2021A00053518013,2021,175383,159458,10,2,1.9,00000,512,2154.9,0.24,20,25,20,30,195,5,5,0,200,110000,205,134000,205,25,455,205,185,25,45.1,40.7,12.2,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180112,35180112,Oshawa,2021A00053518013,2021,175383,159458,10,0.9,0,00000,556,2784.2,0.2,35,20,20,35,220,10,10,0,220,113000,215,125000,215,10,440,270,215,55,61.4,48.9,20.4,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180113,35180113,Oshawa,2021A00053518013,2021,175383,159458,10,1.9,1.9,00000,475,3887.1,0.12,25,25,35,40,210,20,15,0,210,99000,210,120000,210,30,475,340,290,55,71.6,61.1,16.2,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180114,35180114,Oshawa,2021A00053518013,2021,175383,159458,10,2.3,4.4,00000,637,2839.9,0.22,30,30,30,40,265,10,20,65,265,76500,265,84000,260,100,490,265,235,30,54.1,48,11.3,,,,,,,,,,,,,,,,,,,,,,,,
2021S051235180115,35180115,Oshawa,2021A00053518013,2021,175383,159458,10,1.2,2.5,00000,376,2768.8,0.14,15,15,30,45,165,5,15,0,160,90000,155,79000,155,55,285,195,170,25,68.4,59.6,12.8,,,,,,,,,,,,,,,,,,,,,,,,
